,Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
194,195,2005,Madagascar,"$556,559,566","$193,595,521","$362,964,045"
195,196,2012,Ted,"$556,016,627","$218,665,740","$337,350,887"
196,197,2004,The Day After Tomorrow,"$555,840,117","$186,740,799","$369,099,318"
197,198,2011,Puss in Boots,"$554,987,477","$149,260,504","$405,726,973"
198,199,2012,Brave,"$554,606,532","$237,282,182","$317,324,350"
199,200,1998,Armageddon,"$554,600,000","$201,578,182","$353,021,818"
200,201,2005,King Kong,"$550,517,357","$218,080,025","$332,437,332"
201,202,2000,Mission: Impossible 2,"$549,588,516","$215,409,889","$334,178,627"
202,203,1980,Star Wars Ep. V: The Empire Strikes Back,"$549,001,086","$291,738,960","$257,262,126"
203,204,2014,American Sniper,"$547,326,372","$350,126,372","$197,200,000"
204,205,2018,Tang Ren Jie Tan An 2,"$544,068,574","$1,983,984","$542,084,590"
205,206,2010,Despicable Me,"$543,464,573","$251,513,985","$291,950,588"
206,207,2018,Hong Hai Xing Dong,"$543,391,535","$1,543,547","$541,847,988"
207,208,2016,X-Men: Apocalypse,"$542,537,546","$155,442,489","$387,095,057"
208,209,2015,Cinderella,"$542,351,353","$201,151,353","$341,200,000"
209,210,2011,Sherlock Holmes: A Game of Shadows,"$535,663,443","$186,848,418","$348,815,025"
210,211,2015,The Revenant,"$532,938,302","$183,637,894","$349,300,408"
211,212,2008,WALL-E,"$532,508,025","$223,808,164","$308,699,861"
212,213,2013,World War Z,"$531,861,650","$202,706,711","$329,154,939"
213,214,2018,Ralph Breaks The Internet,"$529,290,830","$201,091,711","$328,199,119"
214,215,2014,Godzilla,"$529,076,069","$200,676,069","$328,400,000"
215,216,2017,The Boss Baby,"$527,909,949","$175,003,033","$352,906,916"
216,217,2018,Hotel Transylvania 3: Summer Vacation,"$527,706,567","$167,500,092","$360,206,475"
217,218,2018,The Meg,"$527,267,828","$145,443,742","$381,824,086"
218,219,2007,The Simpsons Movie,"$527,071,022","$183,135,014","$343,936,008"
219,220,2016,Mei Ren Yu,"$525,018,479","$3,229,457","$521,789,022"
220,221,2019,How to Train Your Dragon: The Hidden …,"$521,533,238","$160,799,505","$360,733,733"
221,222,2016,Kung Fu Panda 3,"$521,170,825","$143,528,619","$377,642,206"
222,223,2015,Ant-Man,"$518,858,449","$180,202,163","$338,656,286"
223,224,1990,Ghost,"$517,599,988","$217,631,306","$299,968,682"
224,225,2004,Meet the Fockers,"$516,567,575","$279,167,575","$237,400,000"
225,226,1991,Terminator 2: Judgment Day,"$515,376,182","$203,464,105","$311,912,077"
226,227,2018,Dr. Seussâ The Grinch,"$512,777,932","$270,834,950","$241,942,982"
227,228,2017,Dunkirk,"$512,390,011","$190,068,280","$322,321,731"
228,229,1999,Toy Story 2,"$511,358,276","$245,852,179","$265,506,097"
229,230,2020,Kimetsu no Yaiba: Mugen Ressha-Hen,"$507,127,293","$49,888,502","$457,238,791"
230,231,1992,Aladdin,"$504,050,219","$217,350,219","$286,700,000"
